branch_code,subject_code,m_code,credit,theory_practical
8,MPD-104,17370,1,P
8,EL-11,17552,1,T
11,MPD-104,17369,1,P
11,EL-21,17407,1,T
16,MPD-104,17570,1,P
17,EL-31,17604,1,T
8,PEC3-101,17601,3,T
8,PEC3-102,17602,3,T
8,PEC4-101,17370,3,T
8,OE2-101,17348,3,T
8,OE2-102,17551,3,T
11,PEC3-201,17366,3,T
11,PEC3-202,17412,3,T
11,PEC4-201,17411,3,T
11,OE2-201,17408,3,T
11,OE2-202,17571,3,T
17,PEC3-301,17412,3,T
17,PEC3-302,17609,3,T
17,PEC4-301,17347,3,T
17,OE2-301,17348,3,T
17,OE2-302,17603,3,T
17,MPD-104,21111,1,P
8,NC-101,111,0,P